OID_,name,code,Population,Shape_Leng,Shape_Area
267,Gargunnock,S20001749,720.000000000000000,5145.410969731352452,412395.625244513561483
268,Kippen,S20001826,1100.000000000000000,5429.842146118172423,541843.998491274542175
269,"Cowdenbeath, Lochgelly and Lumphinnans",S20001652,19330.000000000000000,26164.392866753933049,6689149.499560028314590
270,Kirkcaldy and Dysart,S20001827,50370.000000000000000,34820.141625264324830,19132306.081731598824263
271,Alloa and Sauchie,S20001552,20750.000000000000000,29245.904341209803533,7525134.785950099118054
272,Kelty,S20001802,6760.000000000000000,10383.507073654265696,1852286.832537635229528
273,Tullibody,S20002027,9240.000000000000000,10863.239465516113341,2727007.840967204421759
274,Coaltown of Wemyss,S20001643,710.000000000000000,2806.399533967281513,172513.082128907670267
275,Cardenden and Auchterderran,S20001625,5190.000000000000000,12963.338454910419387,1420619.544808331644163
276,Menstrie,S20001882,2870.000000000000000,6804.595934405392654,1328004.245398832717910
277,Alva,S20001555,4630.000000000000000,8334.170512659213273,1610126.875471652485430
278,Tillicoultry,S20002019,5910.000000000000000,12006.255728035037464,1815892.680383087368682
279,East Wemyss,S20001711,1930.000000000000000,6393.902821248928376,819123.439356421004049
280,Thornton,S20002015,2040.000000000000000,7110.928725093751382,546231.931468872586265
281,"Ballingry, Lochore and Crosshill",S20001581,5940.000000000000000,12074.231351184595042,1450916.709607597440481
282,Stirling,S20001992,49950.000000000000000,62621.696394389393390,20941167.022198799997568
283,Kinglassie,S20001815,1900.000000000000000,4602.160413003232861,494958.311099789978471
284,Dollar,S20001682,2840.000000000000000,9597.137629311915589,1284841.902391459327191
285,Thornhill (Stirling),S20002014,600.000000000000000,3631.226257960405746,304907.095996605174150
286,Elie and Earlsferry,S20001717,640.000000000000000,8647.543046778115240,547538.982406117138453
287,Crook of Devon,S20001660,760.000000000000000,8976.042191831222226,967151.400406406726688
288,Aberfoyle,S20001542,790.000000000000000,16569.634084742279811,1565361.087542793946341
289,St Monans,S20001988,1130.000000000000000,4074.959900184454909,357558.995960596657824
290,Doune,S20001685,2200.000000000000000,10145.643741094339930,1357506.678268263814971
291,Dunblane,S20001696,9310.000000000000000,14131.371818792074919,3894167.587045586202294
292,Pittenweem,S20001939,1450.000000000000000,5752.503613491172473,468881.367257282719947
293,"Methil, Leven and Buckhaven",S20001883,30730.000000000000000,34512.497807463339996,12548861.349505113437772
294,Kinnesswood,S20001823,540.000000000000000,3284.392769675079307,297806.232208705972880
295,Glenrothes,S20001762,44760.000000000000000,38076.074130576416792,22968610.550938580185175
296,Kinross,S20001824,5610.000000000000000,12451.195447529578814,2231371.449750023894012
297,"Lower Largo, Lundin Links and Upper Largo",S20001871,2390.000000000000000,10778.985852906040236,1534883.163039850303903
298,Anstruther,S20001560,3950.000000000000000,10969.350461013604217,1247255.524942065123469
299,Milnathort,S20001887,1950.000000000000000,6441.341343017485997,758553.922961839125492
300,Freuchie,S20001742,1250.000000000000000,5358.453102233151185,382178.208226071437821
301,Falkland,S20001726,1120.000000000000000,3782.250071390444191,453828.858119503769558
302,Crail,S20001655,1640.000000000000000,5407.297845341473476,693723.119226257549599
303,Kingskettle and Kettlebridge,S20001818,1020.000000000000000,4496.603969709490229,334453.449829473102000
304,Callander,S20001623,3080.000000000000000,9585.533506169418615,1757154.213072859914973
305,Blackford,S20001595,910.000000000000000,3878.320823727117840,445902.575728341413196
306,Inveraray,S20001791,570.000000000000000,6708.675649850858463,433630.896888053626753
307,Braco,S20001604,540.000000000000000,2872.434288983699844,223778.315788693405921
308,Strathmiglo,S20002000,870.000000000000000,3822.304273410592486,358258.459834243403748
309,Ladybank,S20001838,1430.000000000000000,5360.310356483675605,513227.723815807374194
310,Glenfarg,S20001759,700.000000000000000,4480.542646287910429,397850.293258624617010
311,Springfield,S20001980,1100.000000000000000,4320.677218087636902,306137.635066442482639
312,Ceres,S20001637,930.000000000000000,7019.676611854180919,474272.226092409749981
313,Auchtermuchty,S20001569,2070.000000000000000,8324.605952802314278,680032.554477185127325
314,Auchterarder,S20001568,5840.000000000000000,23231.559245363936498,2946891.708151863887906
315,Dunning,S20001702,950.000000000000000,5242.669318778704110,326867.405467387405224
316,Cupar,S20001669,8960.000000000000000,16005.581327328012776,3493752.258216193877161
317,Aberuthven,S20001546,500.000000000000000,3643.081468515968481,270704.957891460624523
