year,commodity,port,value,type,unit,quantity
1808,Broadcloth,China,227466,export,cloths,9082
1808,Broadcloth,Angola,0,export,cloths,0
1808,Broadcloth,Penang,27113,export,cloths,1478
1808,Broadcloth,Java,0,export,cloths,0
1809,Broadcloth,Bengal,69588,export,cloths,3534
1809,Broadcloth,Madras,16038,export,cloths,810
1809,Broadcloth,Bombay,100465,export,cloths,5080
1809,Broadcloth,St_Helena,889,export,cloths,30
1809,Broadcloth,Benkulen,2000,export,cloths,95
1809,Broadcloth,China,218787,export,cloths,8827
1809,Broadcloth,Angola,0,export,cloths,0
1809,Broadcloth,Penang,9233,export,cloths,511
1809,Broadcloth,Java,0,export,cloths,0
1810,Broadcloth,Bengal,53482,export,cloths,2834
1810,Broadcloth,Madras,17411,export,cloths,872
1810,Broadcloth,Bombay,78965,export,cloths,4356
1810,Broadcloth,St_Helena,488,export,cloths,21
1810,Broadcloth,Benkulen,1437,export,cloths,90
1810,Broadcloth,China,137236,export,cloths,5921
1810,Broadcloth,Angola,0,export,cloths,0
1810,Broadcloth,Penang,7159,export,cloths,348
1810,Broadcloth,Java,0,export,cloths,0
1811,Broadcloth,Bengal,64422,export,cloths,3255
1811,Broadcloth,Madras,24722,export,cloths,1068
1811,Broadcloth,Bombay,90937,export,cloths,4480
1811,Broadcloth,St_Helena,430,export,cloths,11
1811,Broadcloth,Benkulen,4232,export,cloths,187
1811,Broadcloth,China,153289,export,cloths,6471
1811,Broadcloth,Angola,0,export,cloths,0
1811,Broadcloth,Penang,7398,export,cloths,407
1811,Broadcloth,Java,0,export,cloths,0
1812,Broadcloth,Bengal,67895,export,cloths,3508
1812,Broadcloth,Madras,44659,export,cloths,2467
1812,Broadcloth,Bombay,94176,export,cloths,4785
1812,Broadcloth,St_Helena,0,export,cloths,0
1812,Broadcloth,Benkulen,4049,export,cloths,187
1812,Broadcloth,China,156521,export,cloths,6450
1812,Broadcloth,Angola,0,export,cloths,0
1812,Broadcloth,Penang,4219,export,cloths,242
1812,Broadcloth,Java,1358,export,cloths,47
1813,Broadcloth,Bengal,102998,export,cloths,5201
